key,server,nl,fr,de,en
SubDetail6,,We hebben authenticatieproblemen vastgesteld toen er data naar de server werd gestuurd. \nWaarschijnlijk bevind je je achter een firewall die de trafiek blokkeert. Probeer de inschrijving\nopnieuw via een rechtstreeks verbinding met het Internet,Nous rencontrons des problèmes d’authentification lors de l’envoi des données au serveur. \nProbablement vous êtes derrière un firewall qui bloque le trafic. Réessayez en utilisant une connexion directe à l’Internet.,"Bei dem Senden der Daten an den Server treten Probleme bei der Authentifizierung auf. Wahrscheinlich sind Sie hinter einer Firewall, die den Verkehr blockiert. Versuchen Sie es erneut mit einer direkten Verbindung zum Internet.",
SubId1,,Gelieve je stamnummer op te geven.,Veuillez fournir le matricule de la FRBE.,Bitte geben Sie Ihre ID-Nummer beim KSB an.,Please provide your ID number of the RBCF.
SubId2,,Het stamnummer werd niet gevonden.,Le matricule n’est pas trouvé.,Die ID-Nummer konnte nicht gefunden werden.,You ID number was not found.
SubId3,,Hou er rekening mee dat het enkele dagen duurt vooraleer een aangevraagd stamnummer beschikbaar wordt.,Veuillez tenir compte que ça prend quelques jours avant que le matricule\nsoit publié.,"Bitte beachten Sie, dass es einige Tage dauert bevor eine neu angeforderte ID-Nummer verfügbar ist.",Please take into account that it takes a few days before a newly requested id number is available.
SubId4,,Dit stamnummer is niet van een jeugdspeler.,Ce matricule n’appartient pas à un jeune.,Diese ID-Nummer gehört nicht zu einem Jugendspieler.,The id number is not belonging to a youth player.
SubId5,,Deze speler is al geregistreerd.,Ce joueur est déjà enregistré.,Dieser Spieler ist bereits registriert.,This player is already registered.
SubIntro1,,Je hebt 2 zaken nodig om te schrijven voor het Belgisch jeugdkampioenschap:,Vous avez besoin de 2 choses pour l’enregistrement aux championnats belges:,Sie benötigen 2 Dinge für die Einschreibung zur Belgischen Jugend-Schachmeisterschaft:,You need 2 items in order to subscribe to the Belgian Chess Championships:
SubIntro2,,Je stamnummer bij de KBSB,Le matricule à la FRBE,Ihre ID-Nummer beim KSB,Your id number of the Royal Belgian Chess Federation
SubIntro3,,Een foto voor je badge,Une photo pour le badge,Ein Foto für Ihren Badge,A photo for your badge
SubIntro4,,"In het geval dat je nog geen stamnummer van de KBSB hebt, dien je contact op te nemen met jouw club die het nodige zal doen.","Dans le cas où vous n’avez pas de matricule de la FRBE, vous devez contacter votre club d’échecs, qui peut obtenir un nouveau matricule.","Falls Sie keine ID-Nummer beim KSB haben, wenden sie sich an einen Verantwortlichen Ihres Vereins um diese anzufordern.","In case you do not have an id number of the RBCF, please contact your chess club, which can provide it."
SubIntro5,,Hou er rekening mee dat het enkele dagen duurt vooraleer een pas aangevraagd stamnummer gepubliceerd is,Veuillez tenir compte que cela peut prendre quelques jours avant que le nouveau matricule soit publié ,"Wenn Ihr Verein eine neue ID-Nummer angefordert hat, kann es einige Tage dauern bis diese verfügbar ist.","In case your club just requested a new id number, please take into account it can take a few days before the id number is published."
SubNat1,,Voor de FIDE ben je een Belg. Dit betekent dat je Belgisch kampioen kan worden en dat je je aan het EK / WK kan deelnemen in het Belgische team.,"Pour la FIDE, vous êtes belge. Cela signifie que vous pouvez gagner le titre belge et vous pouvez participer aux CE ou CM faisant partie de l’équipe belge.","Für die FIDE sind Sie ein Belgier Das bedeutet, dass Sie den belgischen Titel gewinnen können und Sie können an der EM / WM teilnehmen als Spieler der belgischen Mannschaft.",For the FIDE you are a Belgian. This means you can win the Belgian title and you can participate at the European and World Championships as part of the Belgian team.
SubNat10,,In geen geval zal Bycco persoonlijke data aan derden geven,"En aucun cas, Bycco mettra les données personnelles à disposition de tierces personnes",In jedem Fall wird Bycco keine persönlichen Informationen an Dritte weitergeben.,For the FIDE you are not a Belgian. This means you cannot win the Belgian title and you cannot participate to the European and World Championships as part of the Belgian team.
SubNat2,,Voor de FIDE ben je geen Belg. Dit betekent dat je geen Belgisch kampioen kan worden en dat je niet aan het EK / WK kan deelnemen in het Belgische team.,"Pour la FIDE, vous avez la nationalité non belge. Cela signifie que vous ne pouvez pas gagner le titre belge et vous ne pouvez pas participer aux CE ou CM faisant partie de l’équipe belge.","Für die FIDE sind Sie kein Belgier. Das bedeutet, dass Sie nicht den belgischen Titel gewinnen können und Sie können nicht an der EM / WM teilnehmen als Teilnehmer der belgischen Mannschaft.","You are not affiliated to the FIDE. Unless you <a href=mailto:info@bycco.be>contact us</a> before the 15th of March and instruct us to explicitely do otherwise, we will affiliate you as a Belgian to the FIDE, so you can win the Belgian title and you can participate to the European and World Championships as part of the Belgian team."
SubNat3,,"Je hebt niet aangesloten bij de FIDE. Tenzij je <a href=‘mailto:info@bycco.be’>ons contacteert</a> voor de 15e oktober en expliciet opdraagt om anders te doen, zullen we jou bij de FIDE aansluiten als Belg. Zo kan je Belgisch kampioen worden en deelnemen aan het EK / WK in het Belgische team","Vous n’êtes pas affilié à la FIDE. Sauf si vous <a href=“mailto:info@bycco.be”>nous contactiez</a> avant le 15 mars et que vous nous instruisiez explicitement à faire autrement, nous vous affilierons en tant que Belge à la FIDE, afin que vous puissiez remporter le titre belge et participer aux CE et CM faisant partie de l’équipe belge.","Sie sind nicht an die FIDE angeschlossen. Sofern Sie sich nicht <a href=“mailto:info@bycco.be”>mit uns in Verbindung</a> setzen vor dem 15. März und uns ausdrücklich anders unterrichten, werden wir Sie als Belgier an die FIDE anschließen, damit Sie den belgischen Titel gewinnen können und an der EM / WM teilnehmen können.",You give Bycco the right to use the personal data collected in this subscription form.
SubNat4,,Je geeft Bycco het recht om jouw persoonlijke data te gebruiken verzameld via dit inschrijvingsformulier.,Vous donnez à Bycco le droit d’utiliser les données collectionnées par ce formulaire d’inscription.,"Sie geben Bycco das Recht, die gesammelten personenbezogenen Daten des Anmeldeformulars zu verwenden.",Bycco will only use this data in order to organize this championships.
SubNat5,,Bycco zal de data enkel gebruiken binnen het kader van dit kampioenschap.,Bycco n’utilisera ces données que pour l’organisation du championnat.,Bycco wird diese Daten nur zur Organisation dieser Meisterschaften verwenden.,Bycco will use the profile picture for a badge and for identification on the website.
SubNat6,,Bycco gebruikt jouw profielfoto voor een badge en voor de identificatie op de website.,Bycco utllise votre photo de profil pour le badge et pour l’identification sur le site web,Bycco wird das Profilfoto für einen Badge und für die Identifikation auf der Website verwenden.,Bycco is taking overview photos/videos of the championships and can publish these photos/videos on its website and on social media
SubNat7,,Bycco zal al jouw persoonlijke data zoals GSM en E-mail enkel voor intern gebruik aanwenden.,"Bycco utilise les données privées (numéro GSM, adresse e-mail, …) à des fins internes",Bycco verwendet alle persönlichen Daten wie Handynummern und E-Mail Adressen nur für interne Zwecke.,"If Bycco is taking a close-up photos/video of a player, Bycco will explicitly ask permission to publish"
SubNat8,,Bycco neemt overzichtsfoto's en -video's tijdens het kampioenschap en publiceert deze op de website en op sociale media.,Bycco prend des photos / vidéos d’ensemble lors des championnats et peut publier \n ces photos / vidéos sur le site web et sur les médias sociaux,Bycco nimmt Gesamtaufnahmen der Meisterschaften und kann diese Fotos / Videos auf seiner Website und in sozialen Medien veröffentlichen.,In any case Bycco will not leak any personal information to third parties.
SubNat9,,"Indien een close-up van een speler genomen wordt, zal Bycco expliciete toestemming vragen om te publiceren.","Si Bycco prend un photo / vidéo de près d’un joueur, Bycco demandera explicitement l’autorisation de publier.",Wenn Bycco eine Nahaufnahme eines Spielers macht wird Bycco ausdrücklich um Erlaubnis zur Veröffentlichung bitten.,Bycco will use the profile picture for a badge and for identification on the website.
SubPhoto1,,"We hebben een foto nodig voor de toernooibadge. Je kiest jouw foto door ofwel een foto te slepen naar het opgegeven sleepgebied, ofwel door in het sleepgebied te klikken",Nous avons besoin d’une photo pour le badge du tournoi. Vous sélectionnez une photo en faisant glisser et déposer une photo dans la zone de photo ou en cliquant sur la zone de photo.,"Wir brauchen ein Foto, um Ihr Turnierabzeichen herzustellen. Sie können ein Foto auswählen, indem Sie ein Foto auf den Fotobereich ziehen oder indem Sie auf den Fotobereich klicken",We need a photo to make your tournament badge. You need to select a photo by dragging a photo to the photo area or by either clicking the photo area and selecting a photo.
SubPhoto2,,Sleepgebied. Sleep je foto naar hier of klik hier,Zone de photo. Faites glisser et déposer la photo ici ou cliquez ici.,Fotobereich. Ziehen Sie Ihr Foto hierher oder klicken Sie hier,Photo area . Drop your photo here or click to select a photo
SubPhoto3,,"Eenmaal de foto gekozen, kan je de hendels met de muis verplaatsen om de foto aan te passen. Zorg ervoor dat het gezicht voldoende groot zichtbaar. Wanneer de bewerkte foto OK is, klik op verder","Une fois la photo choisie, vous pouvez déplacer les poignées avec la souris pour ajuster la photo. Veillez à ce que le visage soit suffisamment visible. Lorsque la photo éditée est en ordre, cliquez sur continuer.","Sobald das Foto ausgewählt ist, können Sie die Griffe mit der Maus bewegen, um das Foto anzupassen. Stellen Sie bitte sicher, dass das Gesicht des Spielers das Bild füllt. Klicken Sie auf Weiter, wenn das resultierende Bild korrekt angezeigt wird.","Once the photo is selected, you can move the selector handles with your mouse in order to adjust the photo. Please make sure that the face of player fills the resulting image. When the resulting image seems OK, click continue."
Subscribe,,Inschrijven,S'inscrire,Anmelden,Register
Subscription,,Inschrijving,Enregistrement,Registrierung,Registration
Subscription for,,Inschrijving voor,Inscription pour,Registrierung für,Registration for
Subscription successful,,Registratie geslaagd,Enregistrement réussi,Registrierung erfolgreich,Registration successful
The arbiters,,De scheidrechters,Les arbitres,Die Schiedsrichter,The arbiters
the details of every guest,,De details van de gasten,Les détails des invités,Die Details der Gäste,The details of the giuests
the details of the adult responsible for the reservation,,De details van de verantwoordelijke voor deze reservering,Les détails du responsable adulte de cette résevation,"Die Details der Person, die für diese Reservierung verantwortlich ist",the details of the adult responsible for the reservation
The enrollments are officially closed.,,De inschrijvingen zijn officieel gesloten.,Les inscriptions sont officiellement terminées.,Die Anmeldungen sind offiziell geschlossen.,The enrollments are officially closed.
The id number could not be found.,,Het stamnummer werd niet gevonden.,Le matricule n’est pas trouvé.,Die ID-Nummer konnte nicht gefunden werden.,The id number could not be found.
The id number is not belonging to a youth player,,Dit stamnummer is niet van een jeugdspeler.,Ce matricule n’appartient pas à un jeune.,Diese ID-Nummer gehört nicht zu einem Jugendspieler,The id number is not belonging to a youth player
"The information requested below, is optional but it is highly recommended to provide it",,"De informatie hieronder is optioneel, maar het is aangeraden om die toch te geven.","Les informations ci-dessous sont optionnelles, mais il est conseillé de nous les fournir.","Die unten angeforderten Informationen sind optional, aber es wird empfohlen, sie zur Verfügung zu stellen.","The information requested below, is optional but it is highly recommended to provide it"
the meals,,De maaltijden,Les repas,Die Mahlzeiten,the meals
The organisation will let you know if it still can accept late enrollemnts.,,De organisatie laat je dan weten of ze nog laattijdige inschrijvingen kan accepteren.,L'organisation vous indiquera si les inscriptions tardives peuvent ëtre acceptées.,"Die Organisation teilt Ihnen mit, ob sie spätere Anmeldungen noch akzeptieren kann.",The organisation will let you know if it still can accept late enrollemnts.
The organizers,,De organisatoren,Les organisateurs,Die Organisatoren,The organizers
"The reservation is done per room.  If you want to book two rooms, you have to run this tools twice.",,De reservering wordt per kamer gedaan.  Wilt u meer dan 1 reservering dan moet deze wizard meerdere keren gebruiken,"La réservation se fait par chambre. Si vous souhaitez réserver davantage de chambres, il faudre passer plusieurs fois par le présent assistant.","Die Reservierung wird pro Zimmer vorgenommen.  Wenn Sie mehr als 1 Reservierung wünschen, müssen Sie diesen Assistenten mehrfach verwenden","The reservation is done per room. If you want to book two rooms, you have to run this tool twice."
The subscription fee is 35 Euro.,,Het inschrijvingsgeld bedraagt ​​35 euro.,Le droit d'inscription est de 35 euros.,Die Anmeldegebühr beträgt 35 Euro.,The registration fee is 35 Euro.
The team,,Het team,L' équipe,Das Team,The team
This player is already registered,,Deze speler is reeds geregistreerd,Ce joueur est déjà enregistré,Dieser Spieler ist bereits registriert,This player is already registered
This player is already registered.,,Deze speler is al geregistreerd.,Ce joueur est déjà enregistré.,Dieser Spieler ist bereits registriert.,This player is already registered.
To,,Naar,A,An,To
To be confirmed,,Te bevestigen,A confirmer,Zu bestätigen,To be confirmed
Tournament,,Toernooi,Tournoi,Turnier,Tournament
Tournament Results,,Toernooiresultaten,Résultats du tournoi,Turnierergebnisse,Tournament Results
Tournament Rules,,Toernooireglement,Règlement du tournoi,Turnierregeln,Tournament Rules 
Tournament Subscriptions,,Toernooiinschrijvingen,Enregistrements aux championnats,Turnierregistrierungen,Tournament Registrations
UnknownError,,"Een onbekende fout is opgetreden. Probeer opnieuw. Indien deze fout aanhoudt, gelieve de organisatie te contacteren.","Une erreur inconnue s’est produite. Veuillez réessayer. Si l’erreur persiste, prière de nous contacter.","Ein unbekannter Fehler ist aufgetreten. Bitte versuchen Sie es erneut. Falls der Fehler weiterhin besteht, wenden Sie sich bitte an die Organisatoren","An unknown error occured. Please try again. If the error persists, please contact the organizers"
Used rating,,Gebruikte rating,Rating utilisé,Verwendetes Elo,Used rating
VAT,,BTW,TVA,MwSt.,VAT
VAT number,,BTW number,Numéro de TVA,MwSt-Nummer,VAT number
was not found.,,kon niet gevonden worden,n'est pas trouvée,werde nicht gefunden,was not found
which guests are participants to the tournament,,welke gasten zijn deelnemers aan het toernooi,quels invités participent au tournoi,welche Gäste nehmen am Turnier teil,which guests are participants to the tournament
white,,wit,Blancs,Weiss,white
Yes,,Ja,Oui,Ja,Yes
You give Bycco the right to use the personal data collected in this subscription form.,,Je geeft Bycco het recht om jouw persoonlijke data te gebruiken verzameld via inschrijvingsformulier. ,Vous donnez à Bycco le droit d’utiliser les données collectionnées par ce formulaire d’inscription.,"Sie geben Bycco das Recht, die gesammelten personenbezogenen Daten des Anmeldeformulars zu verwenden.",You give Bycco the right to use the personal data collected in this subscription form.
You need 2 items in order to subscribe to the Belgian Chess Championships:,,Je hebt 2 zaken nodig om te schrijven voor het Belgisch jeugdkampioenschap,Vous avez besoin de 2 choses pour l’enregistrement aux championnats belges,Sie benötigen 2 Sachen für die Einschreibung zur Belgischen Jugend-Schachmeisterschaft: ,You need 2 items in order to subscribe to the Belgian Chess Championships:
You need your id number of the Royal Belgian Chess Federation in order to subscribe to the Belgian Chess Championships.,,Je hebt je stamnummer bij de KBSB nodig om te schrijven voor het Belgisch jeugdkampioenschap.,Vous avez besoin du matricule de la FRBE pour l’enregistrement aux championnats belges.,Sie benötigen Ihre ID-Nummer beim KSB für die Registrierung zur Belgischen Jugend-Schachmeisterschaft.,You need your id number of the Royal Belgian Chess Federation in order to subscribe to the Belgian Chess Championships.
Your enrollment is confirmed,,Jouw inschrijving is bevestigd.,Votre inscription est confirmée. ,Ihre Registrierung ist bestätigt,Your enrollment is confirmed
Your request for a reservation is confirmed. We will inform you by e-mail about the next steps in the reservation process.,,Uw reserveringsaanvraag is bevestigd. Wij informeren u per e-mail over de vervolgstappen in het reserveringsproces.,Votre demande de réservation est confirmée. Nous vous informerons par e-mail des prochaines étapes du processus de réservation.,Ihre Reservierungsanfrage ist bestätigt. Wir informieren Sie per E-Mail über die nächsten Schritte im Reservierungsprozess.,Your request for a reservation is confirmed. We will inform you by e-mail about the next steps in the reservation process.
